city,state,region,tourism_zone,latitude,longitude,tourist_arrivals_annual_m,peak_months,popularity_tier
Shirdi,Maharashtra,West India,Pilgrimage,19.7277,74.1996,13.79,Oct|Nov|Mar|Apr,mega
Pandharpur,Maharashtra,West India,Pilgrimage,19.5053,75.0704,4.63,Oct|Nov|Mar|Apr,major
Trimbakeshwar,Maharashtra,West India,Pilgrimage,18.2788,77.3729,1.76,Oct|Nov|Mar|Apr,mid
Bhimashankar,Maharashtra,West India,Pilgrimage,20.0207,77.3328,1.84,Oct|Nov|Mar|Apr,mid
Jejuri,Maharashtra,West India,Pilgrimage,20.3702,74.8802,0.43,Oct|Nov|Mar|Apr,small
Tuljapur,Maharashtra,West India,Pilgrimage,20.6726,75.6038,1.67,Oct|Nov|Mar|Apr,mid
Aundha Nagnath,Maharashtra,West India,Pilgrimage,21.2479,74.5634,0.51,Oct|Nov|Mar|Apr,small
Parli Vaijnath,Maharashtra,West India,Pilgrimage,20.2352,75.6802,0.44,Oct|Nov|Mar|Apr,small
Akkalkot,Maharashtra,West India,Pilgrimage,19.2027,75.1099,0.53,Oct|Nov|Mar|Apr,small
Alandi,Maharashtra,West India,Pilgrimage,21.0378,75.0973,0.53,Oct|Nov|Mar|Apr,small
Dehu,Maharashtra,West India,Pilgrimage,18.9876,77.3127,0.55,Oct|Nov|Mar|Apr,small
Audumbar,Maharashtra,West India,Pilgrimage,19.9303,75.5474,0.15,Oct|Nov|Mar|Apr,obscure
Saswad,Maharashtra,West India,Pilgrimage,19.1138,77.4027,0.16,Oct|Nov|Mar|Apr,obscure
Lenyadri,Maharashtra,West India,Pilgrimage,19.8025,77.4672,0.17,Oct|Nov|Mar|Apr,obscure
Theur,Maharashtra,West India,Pilgrimage,19.9033,75.3977,0.15,Oct|Nov|Mar|Apr,obscure
Tarapith,West Bengal,East India,Pilgrimage,22.4924,88.7832,1.66,Oct|Nov|Mar|Apr,mid
Mayapur,West Bengal,East India,Pilgrimage,23.926,86.7928,1.62,Oct|Nov|Mar|Apr,mid
Nabadwip,West Bengal,East India,Pilgrimage,24.5296,87.6372,0.53,Oct|Nov|Mar|Apr,small
Tarakeshwar,West Bengal,East India,Pilgrimage,21.6271,89.5633,0.52,Oct|Nov|Mar|Apr,small
Belur,West Bengal,East India,Pilgrimage,22.0515,86.6302,0.51,Oct|Nov|Mar|Apr,small
Gangasagar,West Bengal,East India,Pilgrimage,23.1781,86.3956,1.84,Oct|Nov|Mar|Apr,mid
Bakreshwar,West Bengal,East India,Pilgrimage,24.4765,87.7212,0.44,Oct|Nov|Mar|Apr,small
Furfura Sharif,West Bengal,East India,Pilgrimage,24.1857,87.8542,0.53,Oct|Nov|Mar|Apr,small
Puri,Odisha,East India,Pilgrimage,20.9819,84.2843,5.5,Oct|Nov|Mar|Apr,major
Joranda,Odisha,East India,Pilgrimage,22.6789,84.1774,0.51,Oct|Nov|Mar|Apr,small
Ghatgaon,Odisha,East India,Pilgrimage,20.5309,86.6187,0.16,Oct|Nov|Mar|Apr,obscure
Bodhgaya,Bihar,East India,Pilgrimage,25.7069,85.8924,4.66,Oct|Nov|Mar|Apr,major
Patna Sahib,Bihar,East India,Pilgrimage,25.564,85.1739,1.81,Oct|Nov|Mar|Apr,mid
Sitamarhi,Bihar,East India,Pilgrimage,25.1124,85.8229,0.47,Oct|Nov|Mar|Apr,small
Singhwahini,Bihar,East India,Pilgrimage,24.7777,85.4491,0.18,Oct|Nov|Mar|Apr,obscure
Maner Sharif,Bihar,East India,Pilgrimage,25.0834,84.7478,0.51,Oct|Nov|Mar|Apr,small
Sabour,Bihar,East India,Pilgrimage,24.8522,85.3931,0.16,Oct|Nov|Mar|Apr,obscure
Mokama,Bihar,East India,Pilgrimage,25.0286,85.0248,0.15,Oct|Nov|Mar|Apr,obscure
Amritsar,Punjab,North India,Pilgrimage,31.466,75.4549,14.72,Oct|Nov|Mar|Apr,mega
Anandpur Sahib,Punjab,North India,Pilgrimage,31.5909,74.6098,1.72,Oct|Nov|Mar|Apr,mid
Talwandi Sabo,Punjab,North India,Pilgrimage,31.4784,75.8383,0.48,Oct|Nov|Mar|Apr,small
Goindwal,Punjab,North India,Pilgrimage,31.4119,75.8532,0.57,Oct|Nov|Mar|Apr,small
Khadur Sahib,Punjab,North India,Pilgrimage,31.1425,74.5992,0.5,Oct|Nov|Mar|Apr,small
Sultanpur Lodhi,Punjab,North India,Pilgrimage,31.2943,75.9315,0.56,Oct|Nov|Mar|Apr,small
Damdama Sahib,Punjab,North India,Pilgrimage,31.0545,75.3815,0.49,Oct|Nov|Mar|Apr,small
Kurukshetra,Haryana,North India,Pilgrimage,29.4159,75.946,1.67,Oct|Nov|Mar|Apr,mid
Pehowa,Haryana,North India,Pilgrimage,28.507,76.0412,0.57,Oct|Nov|Mar|Apr,small
Pundri,Haryana,North India,Pilgrimage,28.8017,76.3983,0.17,Oct|Nov|Mar|Apr,obscure
Kedarnath,Uttarakhand,North India,Pilgrimage,30.6328,79.5837,5.54,Oct|Nov|Mar|Apr,major
Badrinath,Uttarakhand,North India,Pilgrimage,29.878,78.7267,5.33,Oct|Nov|Mar|Apr,major
Gangotri,Uttarakhand,North India,Pilgrimage,30.485,79.6158,1.38,Oct|Nov|Mar|Apr,mid
Yamunotri,Uttarakhand,North India,Pilgrimage,29.3795,79.2299,1.8,Oct|Nov|Mar|Apr,mid
Devprayag,Uttarakhand,North India,Pilgrimage,30.8659,79.4148,0.49,Oct|Nov|Mar|Apr,small
Joshimath,Uttarakhand,North India,Pilgrimage,29.4275,79.234,0.56,Oct|Nov|Mar|Apr,small
Rudraprayag,Uttarakhand,North India,Pilgrimage,29.9799,79.3304,0.56,Oct|Nov|Mar|Apr,small
Karnaprayag,Uttarakhand,North India,Pilgrimage,29.3436,79.4938,0.47,Oct|Nov|Mar|Apr,small
Hemkund Sahib,Uttarakhand,North India,Pilgrimage,29.8697,78.4529,0.5,Oct|Nov|Mar|Apr,small
Triyuginarayan,Uttarakhand,North India,Pilgrimage,30.1755,79.488,0.14,Oct|Nov|Mar|Apr,obscure
Ukhimath,Uttarakhand,North India,Pilgrimage,29.3963,79.6133,0.52,Oct|Nov|Mar|Apr,small
Guptkashi,Uttarakhand,North India,Pilgrimage,29.6553,79.6805,0.45,Oct|Nov|Mar|Apr,small
Manimahesh,Himachal Pradesh,North India,Pilgrimage,31.0378,76.7764,0.46,Oct|Nov|Mar|Apr,small
Chintpurni,Himachal Pradesh,North India,Pilgrimage,30.315,77.6574,0.56,Oct|Nov|Mar|Apr,small
Jwalamukhi,Himachal Pradesh,North India,Pilgrimage,31.3842,76.6228,0.49,Oct|Nov|Mar|Apr,small
Naina Devi,Himachal Pradesh,North India,Pilgrimage,30.8529,77.3101,0.52,Oct|Nov|Mar|Apr,small
Baijnath,Himachal Pradesh,North India,Pilgrimage,30.9789,76.7702,0.55,Oct|Nov|Mar|Apr,small
Bajreshwari,Himachal Pradesh,North India,Pilgrimage,30.6187,76.9855,0.16,Oct|Nov|Mar|Apr,obscure
Katra,Jammu & Kashmir,North India,Pilgrimage,33.3595,76.6851,5.11,Oct|Nov|Mar|Apr,major
Amarnath,Jammu & Kashmir,North India,Pilgrimage,34.5683,76.2424,5.72,Oct|Nov|Mar|Apr,major
Tulmulla,Jammu & Kashmir,North India,Pilgrimage,34.0332,76.2092,0.51,Oct|Nov|Mar|Apr,small
Shankaracharya,Jammu & Kashmir,North India,Pilgrimage,34.0773,76.9615,0.43,Oct|Nov|Mar|Apr,small
Charar-i-Sharief,Jammu & Kashmir,North India,Pilgrimage,33.9503,76.5648,0.56,Oct|Nov|Mar|Apr,small
Dwarka,Gujarat,West India,Pilgrimage,21.4903,72.2659,5.16,Oct|Nov|Mar|Apr,major
Somnath,Gujarat,West India,Pilgrimage,21.7284,71.6818,5.18,Oct|Nov|Mar|Apr,major
Palitana,Gujarat,West India,Pilgrimage,22.9,71.9853,1.68,Oct|Nov|Mar|Apr,mid
Ambaji,Gujarat,West India,Pilgrimage,23.478,71.6517,1.79,Oct|Nov|Mar|Apr,mid
Becharaji,Gujarat,West India,Pilgrimage,22.7868,70.5022,0.49,Oct|Nov|Mar|Apr,small
Shamlaji,Gujarat,West India,Pilgrimage,22.5465,72.0265,0.44,Oct|Nov|Mar|Apr,small
Dakor,Gujarat,West India,Pilgrimage,21.5224,72.0809,0.45,Oct|Nov|Mar|Apr,small
Bhadreshwar,Gujarat,West India,Pilgrimage,20.9358,71.3319,0.18,Oct|Nov|Mar|Apr,obscure
Nageshwar,Gujarat,West India,Pilgrimage,22.3711,72.6786,0.55,Oct|Nov|Mar|Apr,small
Sabarimala,Kerala,South India,Pilgrimage,10.4612,76.7895,15.91,Oct|Nov|Mar|Apr,mega
Guruvayur,Kerala,South India,Pilgrimage,11.3404,76.6645,4.76,Oct|Nov|Mar|Apr,major
Chottanikkara,Kerala,South India,Pilgrimage,10.2343,77.0106,0.45,Oct|Nov|Mar|Apr,small
Vaikom,Kerala,South India,Pilgrimage,11.5964,76.8462,0.53,Oct|Nov|Mar|Apr,small
Ettumanoor,Kerala,South India,Pilgrimage,11.6179,77.0176,0.55,Oct|Nov|Mar|Apr,small
Bharananganam,Kerala,South India,Pilgrimage,10.6352,76.7351,0.14,Oct|Nov|Mar|Apr,obscure
Kalady,Kerala,South India,Pilgrimage,10.9085,76.1977,0.53,Oct|Nov|Mar|Apr,small
Ujjain,Madhya Pradesh,North India,Pilgrimage,23.5904,78.9644,5.48,Oct|Nov|Mar|Apr,major
Omkareshwar,Madhya Pradesh,North India,Pilgrimage,24.5551,77.25,1.47,Oct|Nov|Mar|Apr,mid
Amarkantak,Madhya Pradesh,North India,Pilgrimage,21.2601,80.0432,0.51,Oct|Nov|Mar|Apr,small
Salkanpur,Madhya Pradesh,North India,Pilgrimage,24.4649,77.6569,0.14,Oct|Nov|Mar|Apr,obscure
Rumtek,Sikkim,East India,Pilgrimage,27.7243,88.7556,0.47,Oct|Nov|Mar|Apr,small
Hajo,Assam,East India,Pilgrimage,26.0533,92.3636,0.57,Oct|Nov|Mar|Apr,small
Mahabhairab,Assam,East India,Pilgrimage,25.887,92.9282,0.14,Oct|Nov|Mar|Apr,obscure
Mcleodganj,Himachal Pradesh,North India,Hill Station,31.7196,76.5871,2.96,Apr|May|Jun|Sep|Oct,major
Bir,Himachal Pradesh,North India,Hill Station,31.3728,77.559,1.09,Apr|May|Jun|Sep|Oct,mid
Palampur,Himachal Pradesh,North India,Hill Station,30.9706,77.5576,0.86,Apr|May|Jun|Sep|Oct,mid
Kullu,Himachal Pradesh,North India,Hill Station,30.9638,76.5284,0.96,Apr|May|Jun|Sep|Oct,mid
Kalpa,Himachal Pradesh,North India,Hill Station,30.953,77.8924,0.26,Apr|May|Jun|Sep|Oct,small
Sangla,Himachal Pradesh,North India,Hill Station,30.8928,77.0794,0.34,Apr|May|Jun|Sep|Oct,small
Chitkul,Himachal Pradesh,North India,Hill Station,31.6687,76.529,0.32,Apr|May|Jun|Sep|Oct,small
Nako,Himachal Pradesh,North India,Hill Station,31.1711,77.9345,0.09,Apr|May|Jun|Sep|Oct,obscure
Rampur Bushahr,Himachal Pradesh,North India,Hill Station,30.937,76.6737,0.27,Apr|May|Jun|Sep|Oct,small
Kufri,Himachal Pradesh,North India,Hill Station,31.6569,77.0975,0.31,Apr|May|Jun|Sep|Oct,small
Naldehra,Himachal Pradesh,North India,Hill Station,31.3267,77.3254,0.26,Apr|May|Jun|Sep|Oct,small
Narkanda,Himachal Pradesh,North India,Hill Station,31.5589,76.7597,0.27,Apr|May|Jun|Sep|Oct,small
Sarahan,Himachal Pradesh,North India,Hill Station,31.2033,76.4798,0.32,Apr|May|Jun|Sep|Oct,small
Mashobra,Himachal Pradesh,North India,Hill Station,30.6315,76.7155,0.33,Apr|May|Jun|Sep|Oct,small
Chail,Himachal Pradesh,North India,Hill Station,30.8257,76.6061,0.34,Apr|May|Jun|Sep|Oct,small
Khajjiar,Himachal Pradesh,North India,Hill Station,30.3045,77.7434,0.86,Apr|May|Jun|Sep|Oct,mid
Chamba,Himachal Pradesh,North India,Hill Station,30.508,76.771,0.87,Apr|May|Jun|Sep|Oct,mid
Bharmour,Himachal Pradesh,North India,Hill Station,31.3577,76.4112,0.26,Apr|May|Jun|Sep|Oct,small
Tirthan Valley,Himachal Pradesh,North India,Hill Station,31.564,76.7507,0.28,Apr|May|Jun|Sep|Oct,small
Kasol,Himachal Pradesh,North India,Hill Station,30.5788,76.4538,1.03,Apr|May|Jun|Sep|Oct,mid
Tosh,Himachal Pradesh,North India,Hill Station,31.1417,77.5631,0.3,Apr|May|Jun|Sep|Oct,small
Malana,Himachal Pradesh,North India,Hill Station,31.5448,77.1912,0.26,Apr|May|Jun|Sep|Oct,small
Kaza,Himachal Pradesh,North India,Hill Station,31.1061,77.8827,0.26,Apr|May|Jun|Sep|Oct,small
Kibber,Himachal Pradesh,North India,Hill Station,31.5532,77.7572,0.1,Apr|May|Jun|Sep|Oct,obscure
Tabo,Himachal Pradesh,North India,Hill Station,31.0329,77.9124,0.26,Apr|May|Jun|Sep|Oct,small
Sissu,Himachal Pradesh,North India,Hill Station,31.0664,77.0126,0.1,Apr|May|Jun|Sep|Oct,obscure
Dhauladhar,Himachal Pradesh,North India,Hill Station,31.0844,77.8255,0.08,Apr|May|Jun|Sep|Oct,obscure
Auli,Uttarakhand,North India,Hill Station,29.3993,79.1933,0.83,Apr|May|Jun|Sep|Oct,mid
Mukteshwar,Uttarakhand,North India,Hill Station,29.71,79.2329,0.3,Apr|May|Jun|Sep|Oct,small
Chopta,Uttarakhand,North India,Hill Station,29.7903,79.8114,0.3,Apr|May|Jun|Sep|Oct,small
Munsiyari,Uttarakhand,North India,Hill Station,29.9959,79.1887,0.26,Apr|May|Jun|Sep|Oct,small
Ranikhet,Uttarakhand,North India,Hill Station,30.3928,79.5845,1.0,Apr|May|Jun|Sep|Oct,mid
Almora,Uttarakhand,North India,Hill Station,30.5003,79.3733,0.88,Apr|May|Jun|Sep|Oct,mid
Bageshwar,Uttarakhand,North India,Hill Station,29.9925,78.5856,0.29,Apr|May|Jun|Sep|Oct,small
Kausani,Uttarakhand,North India,Hill Station,29.9956,78.8856,0.26,Apr|May|Jun|Sep|Oct,small
Pithoragarh,Uttarakhand,North India,Hill Station,29.9528,79.2842,0.29,Apr|May|Jun|Sep|Oct,small
Lansdowne,Uttarakhand,North India,Hill Station,29.5142,79.6968,0.26,Apr|May|Jun|Sep|Oct,small
Khirsu,Uttarakhand,North India,Hill Station,30.6008,78.3692,0.08,Apr|May|Jun|Sep|Oct,obscure
Pauri,Uttarakhand,North India,Hill Station,30.4521,79.5188,0.31,Apr|May|Jun|Sep|Oct,small
Chakrata,Uttarakhand,North India,Hill Station,30.2083,79.1185,0.28,Apr|May|Jun|Sep|Oct,small
Pangot,Uttarakhand,North India,Hill Station,29.4656,78.7858,0.31,Apr|May|Jun|Sep|Oct,small
Bhimtal,Uttarakhand,North India,Hill Station,30.4705,79.6089,0.32,Apr|May|Jun|Sep|Oct,small
Sattal,Uttarakhand,North India,Hill Station,30.8194,79.1807,0.29,Apr|May|Jun|Sep|Oct,small
Naukuchiatal,Uttarakhand,North India,Hill Station,30.1947,78.5604,0.31,Apr|May|Jun|Sep|Oct,small
Binsar,Uttarakhand,North India,Hill Station,29.6288,78.3931,0.33,Apr|May|Jun|Sep|Oct,small
Dhanaulti,Uttarakhand,North India,Hill Station,29.8581,79.4402,0.31,Apr|May|Jun|Sep|Oct,small
Tehri,Uttarakhand,North India,Hill Station,30.5616,79.5722,0.34,Apr|May|Jun|Sep|Oct,small
New Tehri,Uttarakhand,North India,Hill Station,30.5795,79.2017,0.1,Apr|May|Jun|Sep|Oct,obscure
Dakpathar,Uttarakhand,North India,Hill Station,29.312,79.7065,0.11,Apr|May|Jun|Sep|Oct,obscure
Pahalgam,Jammu & Kashmir,North India,Hill Station,33.4079,76.0587,3.18,Apr|May|Jun|Sep|Oct,major
Gulmarg,Jammu & Kashmir,North India,Hill Station,33.4744,76.3137,2.56,Apr|May|Jun|Sep|Oct,major
Sonamarg,Jammu & Kashmir,North India,Hill Station,34.3718,76.6761,0.93,Apr|May|Jun|Sep|Oct,mid
Yusmarg,Jammu & Kashmir,North India,Hill Station,33.207,76.7831,0.26,Apr|May|Jun|Sep|Oct,small
Doodhpathri,Jammu & Kashmir,North India,Hill Station,34.1738,76.1142,0.29,Apr|May|Jun|Sep|Oct,small
Aharbal,Jammu & Kashmir,North India,Hill Station,33.5254,76.3621,0.1,Apr|May|Jun|Sep|Oct,obscure
Tangmarg,Jammu & Kashmir,North India,Hill Station,34.2229,76.6781,0.26,Apr|May|Jun|Sep|Oct,small
Bhaderwah,Jammu & Kashmir,North India,Hill Station,33.0642,76.0219,0.31,Apr|May|Jun|Sep|Oct,small
Patnitop,Jammu & Kashmir,North India,Hill Station,34.0583,76.2054,0.31,Apr|May|Jun|Sep|Oct,small
Sanasar,Jammu & Kashmir,North India,Hill Station,33.7571,76.4773,0.09,Apr|May|Jun|Sep|Oct,obscure
Leh,Ladakh,North India,Hill Station,34.6179,77.0321,0.94,Apr|May|Jun|Sep|Oct,mid
Nubra,Ladakh,North India,Hill Station,33.8632,77.9356,0.96,Apr|May|Jun|Sep|Oct,mid
Tso Moriri,Ladakh,North India,Hill Station,34.4774,76.9227,0.29,Apr|May|Jun|Sep|Oct,small
Diskit,Ladakh,North India,Hill Station,34.3689,76.8623,0.28,Apr|May|Jun|Sep|Oct,small
Hunder,Ladakh,North India,Hill Station,33.748,77.0696,0.28,Apr|May|Jun|Sep|Oct,small
Hemis,Ladakh,North India,Hill Station,33.935,76.8624,0.32,Apr|May|Jun|Sep|Oct,small
Alchi,Ladakh,North India,Hill Station,33.6911,77.4583,0.32,Apr|May|Jun|Sep|Oct,small
Likir,Ladakh,North India,Hill Station,34.2104,78.1834,0.1,Apr|May|Jun|Sep|Oct,obscure
Lamayuru,Ladakh,North India,Hill Station,33.5253,78.2288,0.26,Apr|May|Jun|Sep|Oct,small
Kargil,Ladakh,North India,Hill Station,33.44,78.3239,0.33,Apr|May|Jun|Sep|Oct,small
Drass,Ladakh,North India,Hill Station,34.3312,77.7674,0.1,Apr|May|Jun|Sep|Oct,obscure
Padum,Ladakh,North India,Hill Station,34.0783,77.0343,0.08,Apr|May|Jun|Sep|Oct,obscure
Gangtok,Sikkim,East India,Hill Station,27.4249,88.6908,3.11,Apr|May|Jun|Sep|Oct,major
Pelling,Sikkim,East India,Hill Station,27.7292,88.7619,0.84,Apr|May|Jun|Sep|Oct,mid
Lachung,Sikkim,East India,Hill Station,27.7367,88.356,0.99,Apr|May|Jun|Sep|Oct,mid
Lachen,Sikkim,East India,Hill Station,27.5444,88.4475,0.28,Apr|May|Jun|Sep|Oct,small
Yumthang,Sikkim,East India,Hill Station,27.4337,88.4098,0.27,Apr|May|Jun|Sep|Oct,small
Ravangla,Sikkim,East India,Hill Station,27.5363,88.2784,0.3,Apr|May|Jun|Sep|Oct,small
Namchi,Sikkim,East India,Hill Station,27.7736,88.4196,0.32,Apr|May|Jun|Sep|Oct,small
Yuksom,Sikkim,East India,Hill Station,27.7214,88.699,0.28,Apr|May|Jun|Sep|Oct,small
Aritar,Sikkim,East India,Hill Station,27.3179,88.3284,0.31,Apr|May|Jun|Sep|Oct,small
Zuluk,Sikkim,East India,Hill Station,27.6861,88.6033,0.09,Apr|May|Jun|Sep|Oct,obscure
Mangan,Sikkim,East India,Hill Station,27.6937,88.5065,0.32,Apr|May|Jun|Sep|Oct,small
Darjeeling,West Bengal,East India,Hill Station,23.9256,87.6761,3.38,Apr|May|Jun|Sep|Oct,major
Kalimpong,West Bengal,East India,Hill Station,23.2222,88.3471,1.0,Apr|May|Jun|Sep|Oct,mid
Mirik,West Bengal,East India,Hill Station,24.3013,88.318,0.27,Apr|May|Jun|Sep|Oct,small
Kurseong,West Bengal,East India,Hill Station,21.4358,87.6519,0.28,Apr|May|Jun|Sep|Oct,small
Lava,West Bengal,East India,Hill Station,22.1788,86.2622,0.3,Apr|May|Jun|Sep|Oct,small
Lolegaon,West Bengal,East India,Hill Station,22.3075,87.6869,0.26,Apr|May|Jun|Sep|Oct,small
Tinchuley,West Bengal,East India,Hill Station,24.1841,86.3362,0.11,Apr|May|Jun|Sep|Oct,obscure
Sandakphu,West Bengal,East India,Hill Station,24.2691,88.274,0.3,Apr|May|Jun|Sep|Oct,small
Sittong,West Bengal,East India,Hill Station,22.8558,88.0555,0.1,Apr|May|Jun|Sep|Oct,obscure
Bijanbari,West Bengal,East India,Hill Station,24.4152,87.679,0.1,Apr|May|Jun|Sep|Oct,obscure
Tawang,Arunachal Pradesh,East India,Hill Station,28.4629,94.4444,0.95,Apr|May|Jun|Sep|Oct,mid
Bomdila,Arunachal Pradesh,East India,Hill Station,27.6614,94.029,0.26,Apr|May|Jun|Sep|Oct,small
Ziro,Arunachal Pradesh,East India,Hill Station,28.8586,94.4795,0.32,Apr|May|Jun|Sep|Oct,small
Dirang,Arunachal Pradesh,East India,Hill Station,28.2273,94.2061,0.28,Apr|May|Jun|Sep|Oct,small
Mechuka,Arunachal Pradesh,East India,Hill Station,28.1204,94.6331,0.3,Apr|May|Jun|Sep|Oct,small
Bhalukpong,Arunachal Pradesh,East India,Hill Station,27.674,94.5266,0.28,Apr|May|Jun|Sep|Oct,small
Anini,Arunachal Pradesh,East India,Hill Station,28.074,94.4714,0.1,Apr|May|Jun|Sep|Oct,obscure
Shillong,Meghalaya,East India,Hill Station,25.9328,91.6057,2.61,Apr|May|Jun|Sep|Oct,major
Sohra,Meghalaya,East India,Hill Station,24.8212,91.6554,2.81,Apr|May|Jun|Sep|Oct,major
Mawlynnong,Meghalaya,East India,Hill Station,25.828,91.6205,1.08,Apr|May|Jun|Sep|Oct,mid
Mawsynram,Meghalaya,East India,Hill Station,26.0672,91.1034,0.98,Apr|May|Jun|Sep|Oct,mid
Dawki,Meghalaya,East India,Hill Station,24.8963,91.1297,1.09,Apr|May|Jun|Sep|Oct,mid
Mawkdok,Meghalaya,East India,Hill Station,25.7876,91.1971,0.1,Apr|May|Jun|Sep|Oct,obscure
Laitlum,Meghalaya,East India,Hill Station,26.1708,91.0653,0.29,Apr|May|Jun|Sep|Oct,small
Champhai,Mizoram,East India,Hill Station,23.6267,93.4411,0.32,Apr|May|Jun|Sep|Oct,small
Reiek,Mizoram,East India,Hill Station,23.6863,93.322,0.32,Apr|May|Jun|Sep|Oct,small
Phawngpui,Mizoram,East India,Hill Station,23.2022,93.1736,0.09,Apr|May|Jun|Sep|Oct,obscure
Kohima,Nagaland,East India,Hill Station,25.9389,94.3402,0.87,Apr|May|Jun|Sep|Oct,mid
Mokokchung,Nagaland,East India,Hill Station,25.7027,95.2763,0.3,Apr|May|Jun|Sep|Oct,small
Wokha,Nagaland,East India,Hill Station,25.7225,93.9801,0.26,Apr|May|Jun|Sep|Oct,small
Mon,Nagaland,East India,Hill Station,26.7111,93.9218,0.32,Apr|May|Jun|Sep|Oct,small
Tuensang,Nagaland,East India,Hill Station,26.6962,95.1739,0.26,Apr|May|Jun|Sep|Oct,small
Ukhrul,Manipur,East India,Hill Station,24.3988,94.3361,0.27,Apr|May|Jun|Sep|Oct,small
Senapati,Manipur,East India,Hill Station,24.4628,93.3696,0.33,Apr|May|Jun|Sep|Oct,small
Moirang,Manipur,East India,Hill Station,25.0938,94.4045,0.27,Apr|May|Jun|Sep|Oct,small
Tamenglong,Manipur,East India,Hill Station,24.5603,93.7674,0.32,Apr|May|Jun|Sep|Oct,small
Jampui Hills,Tripura,East India,Hill Station,23.7825,91.9565,0.28,Apr|May|Jun|Sep|Oct,small
Atharamura,Tripura,East India,Hill Station,24.0891,91.9594,0.1,Apr|May|Jun|Sep|Oct,obscure
Unakoti,Tripura,East India,Hill Station,23.8257,92.1752,0.3,Apr|May|Jun|Sep|Oct,small
Haflong,Assam,East India,Hill Station,26.7362,92.7285,0.34,Apr|May|Jun|Sep|Oct,small
Diphu,Assam,East India,Hill Station,26.9751,92.8787,0.28,Apr|May|Jun|Sep|Oct,small
Chikmagalur,Karnataka,South India,Hill Station,14.8947,75.8089,1.09,Apr|May|Jun|Sep|Oct,mid
Sakleshpur,Karnataka,South India,Hill Station,16.4608,76.7945,0.27,Apr|May|Jun|Sep|Oct,small
Kemmangundi,Karnataka,South India,Hill Station,14.42,76.2182,0.33,Apr|May|Jun|Sep|Oct,small
Kudremukh,Karnataka,South India,Hill Station,15.5163,74.2793,0.33,Apr|May|Jun|Sep|Oct,small
Agumbe,Karnataka,South India,Hill Station,16.5842,74.9362,0.32,Apr|May|Jun|Sep|Oct,small
Talakaveri,Karnataka,South India,Hill Station,14.502,77.1691,0.27,Apr|May|Jun|Sep|Oct,small
Bababudangiri,Karnataka,South India,Hill Station,15.0949,77.3171,0.27,Apr|May|Jun|Sep|Oct,small
Nandi Hills,Karnataka,South India,Hill Station,15.1441,75.1685,0.82,Apr|May|Jun|Sep|Oct,mid
Kodaikanal,Tamil Nadu,South India,Hill Station,9.5217,78.6672,2.76,Apr|May|Jun|Sep|Oct,major
Yercaud,Tamil Nadu,South India,Hill Station,12.9103,78.2097,0.82,Apr|May|Jun|Sep|Oct,mid
Kotagiri,Tamil Nadu,South India,Hill Station,12.681,79.881,0.31,Apr|May|Jun|Sep|Oct,small
Coonoor,Tamil Nadu,South India,Hill Station,12.179,77.3554,0.9,Apr|May|Jun|Sep|Oct,mid
Yelagiri,Tamil Nadu,South India,Hill Station,12.3171,79.3659,0.27,Apr|May|Jun|Sep|Oct,small
Valparai,Tamil Nadu,South India,Hill Station,11.8699,78.475,0.26,Apr|May|Jun|Sep|Oct,small
Topslip,Tamil Nadu,South India,Hill Station,9.6152,77.7813,0.33,Apr|May|Jun|Sep|Oct,small
Vagamon,Kerala,South India,Hill Station,10.9281,76.6336,0.3,Apr|May|Jun|Sep|Oct,small
Ponmudi,Kerala,South India,Hill Station,10.2279,75.931,0.28,Apr|May|Jun|Sep|Oct,small
Idukki,Kerala,South India,Hill Station,10.1264,76.1417,0.33,Apr|May|Jun|Sep|Oct,small
Devikulam,Kerala,South India,Hill Station,10.7814,75.6474,0.34,Apr|May|Jun|Sep|Oct,small
Marayoor,Kerala,South India,Hill Station,11.0048,75.4963,0.3,Apr|May|Jun|Sep|Oct,small
Peermade,Kerala,South India,Hill Station,10.4371,75.6997,0.29,Apr|May|Jun|Sep|Oct,small
Panchgani,Maharashtra,West India,Hill Station,20.1633,74.776,0.94,Apr|May|Jun|Sep|Oct,mid
Matheran,Maharashtra,West India,Hill Station,20.3417,74.2182,1.1,Apr|May|Jun|Sep|Oct,mid
Bhandardara,Maharashtra,West India,Hill Station,18.1936,75.8038,0.3,Apr|May|Jun|Sep|Oct,small
Igatpuri,Maharashtra,West India,Hill Station,21.508,75.9049,0.29,Apr|May|Jun|Sep|Oct,small
Khandala,Maharashtra,West India,Hill Station,19.6425,76.1984,1.1,Apr|May|Jun|Sep|Oct,mid
Toranmal,Maharashtra,West India,Hill Station,18.8631,73.9685,0.1,Apr|May|Jun|Sep|Oct,obscure
Chikhaldara,Maharashtra,West India,Hill Station,19.1913,76.5486,0.31,Apr|May|Jun|Sep|Oct,small
Amboli,Maharashtra,West India,Hill Station,20.7274,76.5567,0.28,Apr|May|Jun|Sep|Oct,small
Karjat,Maharashtra,West India,Hill Station,18.1096,75.8756,0.33,Apr|May|Jun|Sep|Oct,small
Tamhini,Maharashtra,West India,Hill Station,18.5803,76.7149,0.09,Apr|May|Jun|Sep|Oct,obscure
Karnala,Maharashtra,West India,Hill Station,20.4534,76.1842,0.1,Apr|May|Jun|Sep|Oct,obscure
